"retail","Retail"
"retailecommerce","Retail - eCommerce"
"banking","Banking"
"communications","Telcom"
"pharma","LifeSciences"
"pharmarems","LifeSciences - Pharma - REMS"
"insurance","Insurance"
"healthcareinsurance","Health Care Insurance"
"automotive","Automotive - Dealers"
"assetmanagement","Asset Management"
"lsmarketandsell","Life Sciences - Market and Sell"
"lspatientexperience","Life Sciences - Patient Experience"
"travelaviationairlines","Travel - Aviation - Airlines"
