"retail","Retail"
"retailecommerce","Retail - eCommerce"
"lifesciences","LifeSciences"
"healthcareinsurance","Health Care Insurance"
"banking","Banking"
"assetmanagement","Asset Management"
"capitalmarkets","Capital Markets"
"travelaviationairlines","Travel - Aviation - Airlines"
"consumerservicegoods","Consumer Service Goods"
